ma_xa,ten_xa,cum_han_du_bao,mua,so_mau_train,so_mau_test,nguong_kho_uot,mae_truoc,mae_sau,bias_truoc,bias_sau
43,"Xã Cam Lộ",D+1-3,"Mùa mưa (T9-T12)",255,111,3.1,5.29,6.14,-0.25,1.03
43,"Xã Cam Lộ",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,4.32,5.48,-0.01,0.47
43,"Xã Cam Lộ",D+4-7,"Mùa mưa (T9-T12)",340,148,2.2,6.84,8.93,-0.29,4.43
43,"Xã Cam Lộ",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,4.29,5.79,-0.37,0.47
44,"Xã Cồn Tiên",D+1-3,"Mùa mưa (T9-T12)",255,111,2.7,5.46,6.12,-0.77,1.33
44,"Xã Cồn Tiên",D+1-3,"Mùa khô (T1-T8)",1008,435,0.6,3.53,4.52,2.07,2.86
44,"Xã Cồn Tiên",D+4-7,"Mùa mưa (T9-T12)",340,148,2,6.67,9.65,-0.72,4.81
44,"Xã Cồn Tiên",D+4-7,"Mùa khô (T1-T8)",1344,580,0.8,3.04,4.24,1.65,2.64
45,"Xã Tà Rụt",D+1-3,"Mùa mưa (T9-T12)",255,111,2.3,7.57,9.22,6.62,7.34
45,"Xã Tà Rụt",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.4,4.26,0.67,1.57
45,"Xã Tà Rụt",D+4-7,"Mùa mưa (T9-T12)",340,148,1.3,9.58,15.46,8.87,14.24
45,"Xã Tà Rụt",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.4,4.14,0.23,0.83
46,"Xã Đa Krông",D+1-3,"Mùa mưa (T9-T12)",255,111,1.8,7.65,10.27,6.98,8.75
46,"Xã Đa Krông",D+1-3,"Mùa khô (T1-T8)",1008,435,0.4,4.79,6.46,-0.54,2.11
46,"Xã Đa Krông",D+4-7,"Mùa mưa (T9-T12)",340,148,1.1,8.65,16.5,8.21,15.81
46,"Xã Đa Krông",D+4-7,"Mùa khô (T1-T8)",1344,580,0.4,4.9,6.09,-0.88,0.81
47,"Xã Hiếu Giang",D+1-3,"Mùa mưa (T9-T12)",255,111,2.6,5.5,6.35,-1.61,0.41
47,"Xã Hiếu Giang",D+1-3,"Mùa khô (T1-T8)",1008,435,0.5,3.17,5,1.87,3.34
47,"Xã Hiếu Giang",D+4-7,"Mùa mưa (T9-T12)",340,148,1.8,6.54,8.16,-1.35,3.37
47,"Xã Hiếu Giang",D+4-7,"Mùa khô (T1-T8)",1344,580,0.6,3.06,5.4,1.4,3.39
48,"Xã Hải Lăng",D+1-3,"Mùa mưa (T9-T12)",255,111,3.6,7.87,8.53,2.74,2.94
48,"Xã Hải Lăng",D+1-3,"Mùa khô (T1-T8)",1008,435,0.7,4.38,5.37,0.41,1.28
48,"Xã Hải Lăng",D+4-7,"Mùa mưa (T9-T12)",340,148,2.6,8.98,12.47,5.43,8.9
